하나,91,160
다타,68,145
타타,41,173
마마,77,163
타가,77,150
사자,78,191
마파,91,141
바파,50,170
타자,61,167
파가,54,157
자라,53,177
아타,52,159
가마,98,195
가카,60,183
차가,86,187
하바,71,141
타차,82,176
라가,72,189
하바,50,179
파아,48,190
하나,78,187
타카,56,198
나타,64,174
자마,97,162
나가,82,194
바마,91,155
카차,83,183
하파,88,149
타아,56,176
아파,81,168
하라,47,191
가가,68,145
카다,72,142
바나,98,158
타차,93,163
파가,65,156
카하,52,172
차나,47,144
카바,41,147
하라,43,177
가타,87,189
자라,95,186
하바,54,145
타가,43,186
다아,60,175
바차,68,142
가파,67,144
라라,51,168
마가,90,186
마아,87,143
사나,69,145
마마,59,151
파카,50,178
나차,96,194
하카,76,149
나파,69,197
가타,68,193
바자,68,180
차가,56,199
차사,46,168
아하,96,162
가나,67,146
카타,92,161
사바,85,181
가하,92,179
타파,89,182
마바,95,161
자다,87,152
아나,65,160
마라,98,146
나라,75,181
아자,42,143
타아,52,161
나타,97,197
마나,66,196
카바,84,171
마라,47,141
가차,92,161
라자,90,151
바가,52,143
다자,42,159
사나,41,151
가파,62,183
바파,49,162
자나,82,184
라자,56,175
아사,56,140
타다,54,147
차카,88,145
자사,74,145
타파,86,184
카라,75,155
차아,90,185
바아,75,142
하타,86,163
하하,92,196
차가,72,152
나아,83,159
파타,54,145
다차,42,156
하바,71,197
하가,45,192
차카,86,198
파카,72,160
아나,90,199
자자,62,154
타바,59,175
타나,45,143
차마,50,140
자나,64,190
차차,91,167
다바,99,166
마나,67,182
파파,77,151
차라,52,165
차카,65,187
다카,96,199
하바,71,187
차바,87,170
차타,42,168
자라,78,182
카아,87,191
하파,80,150
차라,99,185
하타,61,141
하마,88,176
카다,67,176
파가,64,179
라파,64,184
라아,45,172
나마,72,196
파하,63,184
다자,41,158
카마,77,195
타하,48,173
타타,63,182
자라,71,175
바파,67,185
바자,46,179
자파,83,143
다자,70,182
가파,81,194
사바,41,182
나카,78,153
라마,66,160
마마,68,170
바라,43,157
차다,65,198
마아,72,192
아아,93,197
마차,49,189
다다,64,170
다바,45,175
가아,40,142
아사,89,148
라가,88,199
다라,73,160
파라,57,188
카자,99,191
아타,59,189
아라,57,170
차마,64,177
자가,56,166
사차,75,141
가마,86,167
타다,67,180
카차,68,145
아하,93,158
카사,51,140
라나,64,166
다아,42,166
차나,40,140
바나,91,172
사아,99,141
마사,79,184
사타,78,175
카자,47,141
타하,93,164
타라,77,186
가바,53,151
라사,68,160
타사,82,155
차카,75,176
다가,74,169
라카,43,172
차라,48,146
카마,52,188
나가,82,150
마사,96,167
카사,40,197
하하,65,177
하라,61,144
라자,70,144
마자,96,156
카라,99,167
마차,88,166
마사,54,193
차하,46,198
가타,70,142
나카,67,177
타차,62,171
바차,82,147
나타,99,161
타자,58,166
사나,45,174
사라,99,169
바카,56,193
자파,50,149
나가,94,199
카마,66,183
자가,96,153
하자,52,144
사파,65,151
마아,41,171
가마,44,188
나다,54,163
마다,62,177
바타,46,192
하사,82,159
타가,86,197
자라,74,165
다바,65,159
나파,72,147
라차,61,188
파파,62,158
라가,62,142
파자,94,159
카가,54,154
마다,82,169
아아,66,180
하마,46,183
바파,63,177
타마,87,194
라바,54,187
라하,86,176
타가,89,169
마하,44,184
자사,56,146
마바,70,155
라자,63,145
하파,91,191
라하,47,186
다마,98,157
파나,55,172
파사,58,162
차아,57,181
라차,65,156
차하,72,177
차마,84,156
하카,62,148
카사,56,194
가카,97,165
카나,55,146
다라,96,197
다타,91,185
사사,44,175
파아,45,186
차파,57,190
카바,69,160
아가,93,143
카파,44,176
타나,81,197
라아,40,195
라파,82,145
가아,56,182
바나,91,182
마차,41,179
파차,59,196
가다,68,194
바하,79,151
타차,46,181
가다,49,155
하사,97,175
하아,83,196
다라,64,154
아라,58,184
가마,78,141
바차,96,160
차파,59,142
파타,55,179
카바,75,140
자사,73,193
마타,58,184
아가,76,161
파바,87,160
타다,52,150
카카,74,171
자자,92,160
가마,72,183
타바,87,167
아차,72,184
가마,97,157
다나,88,164
차차,95,163
자타,70,182
자아,41,170
타파,62,170
자자,45,159
가카,45,164
카타,82,190
나마,42,191
파다,70,151
자가,50,153
다하,41,157
라가,82,175
파카,54,148
다사,66,198
자타,40,192
가하,49,163
파자,74,196
바아,72,161
나라,94,193
자나,90,193
하하,60,172
라자,92,179
하사,53,171
타나,50,185
다차,94,188
자자,50,170
마하,88,179
차라,51,175
카아,89,195
나바,68,193
마파,72,154
바바,63,156
자나,50,194
파자,92,170
파사,82,181
하하,47,143
카나,70,162
파파,70,168
카다,79,188
자가,83,152
아차,68,166
마다,59,149
나나,78,181
바카,77,182
나파,78,184
차다,73,173
나카,47,180
차파,73,164
사가,95,183
나차,61,175
다카,45,148
타사,55,149
가가,50,153
아라,69,142
사차,82,178
타아,75,197
가카,42,165
자파,51,190
마다,86,176
가마,60,184
다라,54,186
가바,58,175
가다,98,181
아가,59,148
나가,86,150
나다,95,159
가바,80,193
바사,40,159
카나,83,184
마마,44,196
다라,59,177
자나,82,154
카하,79,146
차파,57,196
하바,54,166
라타,96,188
바다,56,193
다파,75,162
카차,78,196
마라,79,189
카사,70,150
사다,55,172
카하,69,180
자나,95,193
자마,48,155
마가,52,165
나카,92,157
아하,92,197
나다,67,167
자라,61,151
다가,50,153
타하,68,152
라파,88,154
자카,99,153
아다,75,176
하마,59,142
라파,63,197
하자,64,151
카아,55,194
다마,49,148
하카,69,175
차다,68,159
아다,86,164
타가,46,189
바자,47,147
파마,91,184
바하,50,169
카사,94,172
파타,46,146
아아,50,149
라바,94,144
라아,48,144
자나,42,189
라라,67,171
차라,60,146
사타,63,192
다파,41,165
다나,44,148
다가,80,197
다마,59,162
아아,60,173
바바,97,197
마나,47,191
타하,86,186
카자,43,162
아카,92,161
다파,67,159
카마,78,198
가하,95,184
사바,75,150
바카,53,184
사아,42,168
카타,59,177
하파,71,163
카아,46,164
나차,48,153
나자,66,141
바사,80,197
다다,57,180
바아,71,154
타타,52,145
파바,69,163
파카,94,145
다카,41,150
마바,43,184
차파,73,148
라자,66,158
나사,86,186
나차,86,169
라라,64,165
자카,90,169
아바,98,151
하라,68,161
다자,92,184
사사,92,173
파카,66,185
사파,71,163
바다,82,198
하아,66,182
라아,65,170
마마,76,143
자아,63,183
다바,63,188
가아,78,197
차마,73,174
다다,58,149
타가,92,179
카사,40,164
다파,47,171
차나,89,166
다자,86,165
다바,76,188
다타,51,196
라하,83,152
차마,50,160
타라,79,142
파카,81,194
나카,61,199
바자,63,185
라타,75,173
바카,79,164
하하,68,154
차카,78,191
타타,75,163
하자,53,159
차차,55,153
타아,40,198
자자,59,183
사차,75,174
카하,74,174
하아,79,155
사나,81,181
파다,48,142
카하,57,167
다나,93,166
사하,83,159
마하,75,157
카마,71,141
